CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
KN224,,AT31,,CP03ISSM-MFC31-00-CPMENG000,1,1,2014-12-14T18:53:00,2015-05-09T00:00:00,CGMCP-03ISSM-00001,,CGCON-MCPM03-00006,40.3619,-70.878,,93,94,Recovered 2015-10-30,,
KN224,,AT31,,CP03ISSM-MFD35-00-DCLENG000,1,1,2014-12-14T18:53:00,2015-05-09T00:00:00,CGMCP-03ISSM-00001,,CGCON-MDCL35-00008,40.3619,-70.878,,93,94,Recovered 2015-10-30,,
KN224,,AT31,,CP03ISSM-MFD35-01-ADCPTF000,1,1,2014-12-14T18:53:00,2015-05-09T00:00:00,CGMCP-03ISSM-00001,,CGINS-ADCPTF-19221,40.3619,-70.878,,93,94,Recovered 2015-10-30,,
KN224,,AT31,,CP03ISSM-MFD35-02-PRESFB000,1,1,2014-12-14T18:53:00,2015-05-09T00:00:00,CGMCP-03ISSM-00001,,CGINS-PRESFB-01387,40.3619,-70.878,,93,94,Recovered 2015-10-30,,
KN224,,AT31,,CP03ISSM-MFD35-04-VELPTA000,1,1,2014-12-14T18:53:00,2015-05-09T00:00:00,CGMCP-03ISSM-00001,,CGINS-VELPTA-11412,40.3619,-70.878,,93,94,Recovered 2015-10-30,,
KN224,,AT31,,CP03ISSM-MFD35-05-PCO2WB000,1,1,2014-12-14T18:53:00,2015-05-09T00:00:00,CGMCP-03ISSM-00001,,CGINS-PCO2WB-C0071,40.3619,-70.878,,93,94,Recovered 2015-10-30,,
KN224,,AT31,,CP03ISSM-MFD35-06-PHSEND000,1,1,2014-12-14T18:53:00,2015-05-09T00:00:00,CGMCP-03ISSM-00001,,CGINS-PHSEND-P0069,40.3619,-70.878,,93,94,Recovered 2015-10-30,,
KN224,,AT31,,CP03ISSM-MFD37-00-DCLENG000,1,1,2014-12-14T18:53:00,2015-05-09T00:00:00,CGMCP-03ISSM-00001,,CGCON-MDCL37-00006,40.3619,-70.878,,93,94,Recovered 2015-10-30,,
KN224,,AT31,,CP03ISSM-MFD37-01-OPTAAD000,1,1,2014-12-14T18:53:00,2015-05-09T00:00:00,CGMCP-03ISSM-00001,,CGINS-OPTAAD-00159,40.3619,-70.878,,93,94,Recovered 2015-10-30,,
KN224,,AT31,,CP03ISSM-MFD37-03-CTDBPD000,1,1,2014-12-14T18:53:00,2015-05-09T00:00:00,CGMCP-03ISSM-00001,,CGINS-CTDBPD-07209,40.3619,-70.878,,93,94,Recovered 2015-10-30,,
KN224,,AT31,,CP03ISSM-MFD37-04-DOSTAD000,1,1,2014-12-14T18:53:00,2015-05-09T00:00:00,CGMCP-03ISSM-00001,,CGINS-DOSTAD-00390,40.3619,-70.878,,93,94,Recovered 2015-10-30,,
KN224,,AT31,,CP03ISSM-MFD37-07-ZPLSCC000,1,1,2014-12-14T18:53:00,2015-05-09T00:00:00,CGMCP-03ISSM-00001,,CGINS-ZPLSCC-55074,40.3619,-70.878,,93,94,Recovered 2015-10-30,,
KN224,,AT31,,CP03ISSM-RIC21-00-CPMENG000,1,1,2014-12-14T18:53:00,2014-12-28T16:30:00,CGMCP-03ISSM-00001,,CGCON-NCPM02-00005,40.3619,-70.878,,7,94,Riser fell to seafloor 2014-12-28 and was recovered 2015-10-30,,
KN224,,AT31,,CP03ISSM-RID26-00-DCLENG000,1,1,2014-12-14T18:53:00,2014-12-28T16:30:00,CGMCP-03ISSM-00001,,CGCON-NDCL26-00011,40.3619,-70.878,,7,94,Riser fell to seafloor 2014-12-28 and was recovered 2015-10-30,,
KN224,,AT31,,CP03ISSM-RID26-04-VELPTA000,1,1,2014-12-14T18:53:00,2014-12-28T16:30:00,CGMCP-03ISSM-00001,,CGINS-VELPTA-11397,40.3619,-70.878,,7,94,Riser fell to seafloor 2014-12-28 and was recovered 2015-10-30,,
