CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes
MV-1309,,,,GP02HYPM-RIM01-00-SIOENG000,1,1,2013-07-26T08:11:00,2014-06-14T00:00:00,CGMGP-02HYPM-00001,,R00054,50.07067,-144.798,,4072,4219,
MV-1309,,,,GP02HYPM-RIM01-02-CTDMOG039,1,1,2013-07-26T08:11:00,2014-06-14T00:00:00,CGMGP-02HYPM-00001,,A00146,50.07067,-144.798,,150,4219,
MV-1309,,,,GP02HYPM-WFP02-00-WFPENG000,1,1,2013-07-26T08:11:00,2014-06-14T00:00:00,CGMGP-02HYPM-00001,,A00267.1,50.07067,-144.798,,2174,4219,shallow depth = 307
MV-1309,,,,GP02HYPM-WFP02-01-FLORDL000,1,1,2013-07-26T08:11:00,2014-06-14T00:00:00,CGMGP-02HYPM-00001,,N00604,50.07067,-144.798,,2174,4219,shallow depth = 307
MV-1309,,,,GP02HYPM-WFP02-03-DOSTAL000,1,1,2013-07-26T08:11:00,2014-06-14T00:00:00,CGMGP-02HYPM-00001,,N00605,50.07067,-144.798,,2174,4219,shallow depth = 307
MV-1309,,,,GP02HYPM-WFP02-04-CTDPFL000,1,1,2013-07-26T08:11:00,2014-06-14T00:00:00,CGMGP-02HYPM-00001,,N00606,50.07067,-144.798,,2174,4219,shallow depth = 307
MV-1309,,,,GP02HYPM-WFP02-05-VEL3DL000,1,1,2013-07-26T08:11:00,2014-06-14T00:00:00,CGMGP-02HYPM-00001,,N00607,50.07067,-144.798,,2174,4219,shallow depth = 307
MV-1309,,,,GP02HYPM-WFP03-00-WFPENG000,1,1,2013-07-26T08:11:00,2014-06-14T00:00:00,CGMGP-02HYPM-00001,,A01080.1,50.07067,-144.798,,4061,4219,shallow depth = 2195
MV-1309,,,,GP02HYPM-WFP03-01-FLORDL000,1,1,2013-07-26T08:11:00,2014-06-14T00:00:00,CGMGP-02HYPM-00001,,N00172,50.07067,-144.798,,4061,4219,shallow depth = 2195
MV-1309,,,,GP02HYPM-WFP03-03-DOSTAL000,1,1,2013-07-26T08:11:00,2014-06-14T00:00:00,CGMGP-02HYPM-00001,,N00171,50.07067,-144.798,,4061,4219,shallow depth = 2195
MV-1309,,,,GP02HYPM-WFP03-04-CTDPFL000,1,1,2013-07-26T08:11:00,2014-06-14T00:00:00,CGMGP-02HYPM-00001,,N00170,50.07067,-144.798,,4061,4219,shallow depth = 2195
